clave,entidad,indice_paz
1,Aguascalientes,categoria_2
2,Baja California,categoria_5
3,Baja California Sur,categoria_3
4,Campeche,categoria_2
5,Coahuila,categoria_2
6,Colima,categoria_5
7,Chiapas,categoria_1
8,Chihuahua,categoria_4
9,CDMX,categoria_3
10,Durango,categoria_2
11,Guanajuato,categoria_5
12,Guerrero,categoria_4
13,Hidalgo,categoria_2
14,Jalisco,categoria_3
15,Mexico,categoria_4
16,Michoacan ,categoria_4
17,Morelos,categoria_5
18,Nayarit,categoria_1
19,Nuevo Leon,categoria_4
20,Oaxaca,categoria_3
21,Puebla,categoria_2
22,Queretaro,categoria_3
23,Quintana Roo,categoria_4
24,San Luis Potosi,categoria_3
25,Sinaloa,categoria_3
26,Sonora,categoria_4
27,Tabasco,categoria_2
28,Tamaulipas,categoria_1
29,Tlaxcala,categoria_1
30,Veracruz ,categoria_2
31,Yucatan,categoria_1
32,Zacatecas,categoria_5